Year,State,Q01%,Q02%,Q03%,Q04%,Q08_Mean,Q09%,Q13%,Q14%,Q16%,Q17%,Q18%,Q19%,Q21%,Q22%,Q27%,Q32%,Q33%,Q35_Mean,Q36%,Q37%,Q38%,Q39%,Q40%,Q42%,Q43%,Q44%,Q45%,Q05%,Q07%,Q10%,Q11%,Q12%,Q15%,Q20%,Q34%,Q46%,Mortality_Rate,Deaths,Aqi,Percent!!Population 18 to 24 years!!Bachelor's degree or higher,Percent!!Population 18 to 24 years!!High school graduate (includes equivalency),Percent!!Population 18 to 24 years!!Less than high school graduate,Percent!!Population 18 to 24 years!!Some college or associate's degree,"Percent!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!Population 25 years and over!!Associate's degree,Percent!!Population 25 years and over!!Bachelor's degree,Percent!!Population 25 years and over!!Graduate or professional degree,Percent!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!Population 25 years and over!!Less than 9th grade,"Percent!!Population 25 years and over!!Some college, no degree",Total!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Population 18 to 24 years!!High school graduate (includes equivalency),Total!!Population 18 to 24 years!!Less than high school graduate,Total!!Population 18 to 24 years!!Some college or associate's degree,"Total!!Population 25 years and over!!9th to 12th grade, no diploma",Total!!Population 25 years and over!!Associate's degree,Total!!Population 25 years and over!!Bachelor's degree,Total!!Population 25 years and over!!Graduate or professional degree,Total!!Population 25 years and over!!High school graduate (includes equivalency),Total!!Population 25 years and over!!Less than 9th grade,"Total!!Population 25 years and over!!Some college, no degree",Percent!!Population 25 years and over!!Bachelor's degree or higher,Percent!!Population 25 years and over!!High school graduate or higher,Total!!Population 25 years and over!!Bachelor's degree or higher,Total!!Population 25 years and over!!High school graduate or higher
2015,Idaho,29.7,16.8,8.0,78.5,4.8,59.4,31.8,89.4,23.6,12.5,45.7,,9.0,50.1,19.5,19.6,80.4,5.5,24.4,18.4,70.0,25.4,7.3,,43.9,21.6,26.1,,,,,,,,,,29.9,1339,10.028571428571427,5.2,34.4,13.9,46.4,6.3,9.6,17.8,8.2,27.5,3.7,27,8194,53986,21822,72765,66804,102284,189566,87346,292667,39730,287585,,,,
2015,Illinois,35.1,16.7,8.6,87.7,5.1,58.5,34.1,91.4,30.6,14.4,46.8,,13.0,52.1,15.0,23.3,76.7,5.4,21.9,18.2,71.3,28.6,9.5,47.1,40.7,29.1,33.5,,,,,,,,,,31.6,552,9.075,12.5,28.9,12.5,46.1,6.2,8.1,20.3,12.7,26.7,5.3,20.8,155174,357249,154211,571238,535035,698002,1757697,1095843,2314192,456567,1804602,,,,
2015,Indiana,27.1,14.8,10.4,89.1,5.6,58.7,34.0,90.6,34.3,18.1,49.4,,8.3,52.0,20.3,25.0,75.0,6.2,23.8,17.8,73.1,29.7,13.3,,45.7,25.3,35.9,,,,,,,,,,24.4,3686,10.078260869565218,9.4,31.3,16,43.4,8,8.3,16,9,34.3,3.8,20.6,63424,211407,107912,293630,349195,364142,697223,390897,1496775,164941,900400,,,,
2015,Iowa,28.3,12.5,6.7,88.9,4.5,67.2,33.4,92.3,30.6,14.5,60.8,,10.9,48.0,16.4,18.6,81.4,5.5,16.5,17.7,69.9,22.8,10.9,38.8,43.0,21.4,27.4,,,,,,,,,,33.1,2513,8.328571428571427,9.9,26.1,10.9,53.1,5.1,11.4,18.2,8.7,32.1,3.2,21.4,31828,83647,34913,170254,105159,236728,377035,179556,664912,66506,444608,,,,
2015,Kansas,25.3,13.5,7.9,87.6,4.5,64.3,35.4,91.1,30.8,14.9,51.9,,7.9,50.8,18.9,21.7,78.3,5.8,,,,,,,41.6,25.2,32.5,,,,,,,,,,23.5,865,7.783333333333332,8.9,29.7,12.5,48.9,5.9,8.4,20.4,11.4,26.5,3.8,23.6,27032,89828,37791,148277,111806,158308,384495,214568,501278,71948,446076,,,,
2015,Kentucky,19.9,10.8,11.9,91.7,7.0,62.4,36.7,92.1,40.1,21.3,55.3,69.3,8.8,59.3,19.3,31.8,68.2,7.6,23.6,18.4,72.1,36.6,10.5,,50.4,35.1,42.4,,,,,,,,,,34.9,1694,8.81875,7.5,34.8,14.2,43.5,8.7,7.9,13.6,9.7,33.5,6.2,20.4,31921,148269,60373,185156,260013,235061,406865,289309,1002541,183951,611050,,,,
2015,Louisiana,21.3,12.7,13.7,91.8,6.3,61.9,37.7,91.2,38.9,20.5,48.2,67.4,9.5,60.7,21.2,31.5,68.5,7.8,26.7,19.5,70.9,38.4,10.5,37.7,46.4,41.3,44.7,,,,,,,,,,42.5,2018,8.500000000000002,7.4,32.8,16.7,43.1,10.2,6.1,15.2,8,34.1,5.2,21.1,34103,150433,76591,198157,316837,189683,470739,247319,1056533,159933,654211,,,,
2015,Maine,35.7,18.3,9.3,87.7,4.9,67.1,31.6,94.3,28.8,14.4,53.6,,9.2,50.6,21.7,19.7,80.3,5.7,22.5,17.9,70.5,22.7,15.3,,46.3,21.3,29.2,,,,,,,,,,20.2,1815,7.266666666666666,9.6,31.1,12,47.4,5.5,9.7,19.5,10.6,32.7,2.8,19.2,10755,34849,13424,53201,52423,93335,187513,102040,314332,27176,184421,,,,
2015,Maryland,31.7,16.0,9.6,89.9,4.6,63.4,32.9,95.7,28.9,14.1,51.9,,8.3,51.5,16.8,19.7,80.3,5.8,25.7,17.2,70.0,26.5,13.2,46.0,40.2,25.1,28.6,,,,,,,,,,16.4,1095,9.3,13.9,28.7,11,46.4,6.1,6.5,21.1,17.7,25.1,4.2,19.2,77516,159573,61026,258068,251792,266499,866352,725262,1029325,173874,789382,,,,
2015,Massachusetts,34.6,18.6,10.2,88.5,4.6,65.2,27.7,95.5,30.8,12.3,52.8,,9.2,47.7,20.9,18.7,81.3,5.9,,,,,,,40.7,27.0,29.6,,,,,,,,,,28.4,544,6.866666666666665,17.3,27.5,10.2,45,5.2,7.7,23.1,18.4,25.2,4.5,15.9,121238,192573,71420,315353,245853,362478,1086715,864974,1184423,213496,748705,,,,
